Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.3	Patient3	0	0	0	3	1	2	0	6	0	2019		2971.7682020802376		16.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	7.0		0.8571428571428571	-0.3333333333333333	0.0	0.0						
PB.161541.3	Patient30	0	0	0	9	5	5	0	19	0	1808		10508.849557522124		3.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	21.0		0.9047619047619048	0.0	0.0	0.0						
PB.161541.3	Patient31	0	0	0	3	9	6	0	18	0	1858		9687.83638320775		4.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	18.0		1.0	0.2	2.0103810896810193	3.7964111277780352	1.0	1.0	1.0	1.0	2.0	
PB.161541.3	Patient4	0	0	0	2	1	0	0	3	0	1450		2068.9655172413795		21.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	6.0		0.5	1.0	0.0	0.0						
PB.161541.3	Patient5	0	0	0	2	3	2	0	7	0	1596		4385.964912280701		11.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	7.0		1.0	0.2	0.0	0.0						
PB.161541.3	Patient6	0	0	0	1	0	1	0	2	0	1602		1248.4394506866417		25.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	2.0		1.0	-1.0	0.0	0.0						
PB.161541.3	Patient7	0	0	0	1	0	0	0	1	0	1726		579.3742757821552		27.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	3.0		0.3333333333333333		0.0	0.0						
PB.161541.3	Patient8	0	0	0	2	2	1	0	5	0	1359		3679.175864606328		14.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	6.0		0.8333333333333334	0.3333333333333333	0.0	0.0						
PB.161541.3	Patient9	0	0	0	0	0	0	0	0	0	1722		0.0		30.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	2.0		0.0		0.0	0.0						
PB.161551.18	Patient1	0	0	0	25	21	25	0	71	0	1717		41351.1939429237		16.0		41351.1939429237		56432.168021848614	SRSF6	0.0	95.0		0.7473684210526316	-0.08695652173913043	1.3312231695207648	0.3529395582793576						
PB.161551.18	Patient10	0	0	0	60	52	49	0	161	0	1394		115494.97847919655		6.0		41351.1939429237		56432.168021848614	SRSF6	0.0	248.0		0.6491935483870968	0.0297029702970297	0.5597176531037086	-0.1928647052470007						
PB.161551.18	Patient11	0	0	0	36	45	41	0	122	0	1367		89246.52523774689		8.0		41351.1939429237		56432.168021848614	SRSF6	0.0	299.0		0.4080267558528428	0.046511627906976744	0.8434121184533621	0.02281278793741114						
PB.161551.18	Patient12	0	0	0	63	57	63	0	183	0	1791		102177.55443886097		7.0		41351.1939429237		56432.168021848614	SRSF6	0.0	223.0		0.820627802690583	-0.05	0.9809097291510526	0.11736464854540261						
PB.161551.18	Patient13	0	0	0	89	88	88	0	265	0	2218		119477.0063119928		4.0		41351.1939429237		56432.168021848614	SRSF6	0.0	387.0		0.6847545219638242	0.0	0.0	-0.5692574450381154						
PB.161551.18	Patient14	0	0	0	11	10	11	0	32	0	1708		18735.362997658078		23.0		41351.1939429237		56432.168021848614	SRSF6	0.0	44.0		0.7272727272727273	-0.047619047619047616	0.55137148047372	-0.19847724715192602						
PB.161551.18	Patient15	0	0	0	64	69	71	0	204	0	2573		79284.88146132919		9.0		41351.1939429237		56432.168021848614	SRSF6	0.0	294.0		0.6938775510204082	-0.014285714285714285	0.28974820985186894	-0.37441077198614264						
PB.161551.18	Patient16	0	0	0	10	11	8	0	29	0	1271		22816.679779701022		22.0		41351.1939429237		56432.168021848614	SRSF6	0.0	54.0		0.5370370370370371	0.15789473684210525	1.7630492122974226	0.6433291617742208					1.0	
PB.161551.18	Patient17	0	0	0	7	2	8	0	17	0	1227		13854.930725346372		27.0		41351.1939429237		56432.168021848614	SRSF6	0.0	25.0		0.68	-0.6	5.26513146048854	2.9983707172104634	1.0	1.0	1.0	1.0	1.0	
PB.161551.18	Patient18	0	0	0	15	23	12	0	50	0	1387		36049.02667627974		19.0		41351.1939429237		56432.168021848614	SRSF6	0.0	82.0		0.6097560975609756	0.3142857142857143	4.536967686788828	2.5087031923795307	1.0	1.0	1.0	1.0	1.0	
PB.161551.18	Patient19	0	0	0	6	6	5	0	17	0	1548		10981.912144702841		28.0		41351.1939429237		56432.168021848614	SRSF6	0.0	31.0		0.5483870967741935	0.09090909090909091	0.7693513741166161	-0.05189253799960743						
PB.161551.18	Patient2	0	0	0	18	19	9	0	46	0	1085		42396.3133640553		15.0		41351.1939429237		56432.168021848614	SRSF6	0.0	62.0		0.7419354838709677	0.35714285714285715	4.807354922057604	2.6905302112756133	1.0	1.0	1.0	1.0	1.0	
PB.161551.18	Patient20	0	0	0	15	15	17	0	47	0	1738		27042.57767548907		21.0		41351.1939429237		56432.168021848614	SRSF6	0.0	81.0		0.5802469135802469	-0.0625	0.8496250072115623	0.029079750062196284						
PB.161551.18	Patient21	0	0	0	23	28	30	0	81	0	1328		60993.97590361446		12.0		41351.1939429237		56432.168021848614	SRSF6	0.0	122.0		0.6639344262295082	-0.034482758620689655	0.5636274882292058	-0.1902354625442611						
PB.161551.18	Patient22	0	0	0	8	14	10	0	32	0	2106		15194.681861348528		26.0		41351.1939429237		56432.168021848614	SRSF6	0.0	43.0		0.7441860465116279	0.16666666666666666	2.0515826300241002	0.8373589248471318	1.0	1.0	1.0	1.0	1.0	
PB.161551.18	Patient23	0	0	0	6	4	1	0	11	0	1159		9490.940465918895		30.0		41351.1939429237		56432.168021848614	SRSF6	0.0	18.0		0.6111111111111112	0.6	0.0	-0.5692574450381154						
