associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	CycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
DND1_HARS1	Patient1	5	0	2628.8117770767612	0.0	1902	1717	0	2	3	0	0	0	19.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	-0.2	0.0	0.0						
DND1_HARS1	Patient10	0	17	0.0	7798.165137614679	1394	2180	0	0	0	6	5	6	27.0	3.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957		0.0	0.0						
DND1_HARS1	Patient11	0	5	0.0	2246.1814914645106	1367	2226	0	0	0	2	0	3	27.0	10.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957		0.0	0.0						
DND1_HARS1	Patient12	0	10	0.0	4990.0199600798405	1791	2004	0	0	0	6	2	2	27.0	7.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957		0.0	0.0						
DND1_HARS1	Patient13	0	25	0.0	10020.040080160321	2218	2495	0	0	0	9	8	8	27.0	2.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957		0.0	0.0						
DND1_HARS1	Patient14	0	0	0.0	0.0	1161	1708	0	0	0	0	0	0	27.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957		0.0	0.0						
DND1_HARS1	Patient15	6	1	4360.46511627907	388.65137971239795	1376	2573	4	2	0	0	1	0	14.0	16.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	1.0	0.0	0.0						
DND1_HARS1	Patient16	5	0	3584.2293906810037	0.0	1395	1271	1	4	0	0	0	0	16.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	1.0	0.0	0.0						
DND1_HARS1	Patient17	6	0	6153.846153846154	0.0	975	1227	2	2	2	0	0	0	8.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	0.0	0.0	0.0						
DND1_HARS1	Patient18	2	0	2024.2914979757086	0.0	988	1387	1	1	0	0	0	0	20.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	1.0	0.0	0.0						
DND1_HARS1	Patient19	5	1	4068.3482506102523	645.9948320413437	1229	1548	1	3	1	0	1	0	15.0	14.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	0.5	0.0	0.0						
DND1_HARS1	Patient2	32	6	25058.731401722787	5529.9539170506905	1277	1085	11	10	11	1	1	4	1.0	6.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	-0.047619047619047616	0.55137148047372	1.820032632105944						
DND1_HARS1	Patient20	1	1	529.6610169491526	575.3739930955121	1888	1738	0	0	1	0	0	1	22.0	15.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	-1.0	0.0	0.0						
DND1_HARS1	Patient21	7	0	4940.014114326041	0.0	1417	1328	3	2	2	0	0	0	10.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	0.0	0.0	0.0						
DND1_HARS1	Patient22	6	0	4914.004914004914	0.0	1221	2106	1	1	4	0	0	0	11.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	-0.6	0.0	0.0						
DND1_HARS1	Patient23	9	1	13533.834586466164	862.8127696289905	665	1159	3	3	3	0	0	1	2.0	13.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	0.0	0.0	0.0						
DND1_HARS1	Patient24	7	0	6610.0094428706325	0.0	1059	1661	2	2	3	0	0	0	7.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	-0.2	0.0	0.0						
DND1_HARS1	Patient25	4	0	2915.451895043732	0.0	1372	1946	2	1	1	0	0	0	18.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	0.0	0.0	0.0						
DND1_HARS1	Patient26	8	0	4733.7278106508875	0.0	1690	1469	4	2	2	0	0	0	12.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	0.0	0.0	0.0						
DND1_HARS1	Patient27	4	2	4362.0501635768815	1389.854065323141	917	1439	2	1	1	2	0	0	13.0	11.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	0.0	0.0	0.0						
DND1_HARS1	Patient28	15	0	10183.299389002037	0.0	1473	1202	5	4	6	0	0	0	4.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	-0.2	1.6125530151888579	5.322906992075444	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient29	9	0	8620.689655172413	0.0	1044	1857	2	5	2	0	0	0	5.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	0.42857142857142855	0.0	0.0						
DND1_HARS1	Patient3	7	2	3522.8988424760946	990.5894006934126	1987	2019	3	0	4	2	0	0	17.0	12.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	-1.0	0.0	0.0						
DND1_HARS1	Patient30	12	0	7237.6357056694815	0.0	1658	1808	5	4	3	0	0	0	6.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	0.14285714285714285	0.0	0.0						
DND1_HARS1	Patient31	10	0	10351.966873706004	0.0	966	1858	2	2	6	0	0	0	3.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	-0.5	0.0	0.0						
DND1_HARS1	Patient4	8	0	5148.005148005148	0.0	1554	1450	3	4	1	0	0	0	9.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	0.6	0.0	0.0						
DND1_HARS1	Patient5	0	5	0.0	2508.7807325639737	1596	1993	0	0	0	0	3	2	27.0	9.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957		0.0	0.0						
DND1_HARS1	Patient6	0	13	0.0	7584.597432905484	1602	1714	0	0	0	7	3	3	27.0	4.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957		0.0	0.0						
DND1_HARS1	Patient7	0	8	0.0	4692.08211143695	1726	1705	0	0	0	3	1	4	27.0	8.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957		0.0	0.0						
DND1_HARS1	Patient8	0	7	0.0	5937.234944868533	1359	1179	0	0	0	4	3	0	27.0	5.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957		0.0	0.0						
DND1_HARS1	Patient9	1	19	580.7200929152149	12726.054922973877	1722	1493	0	1	0	5	6	8	21.0	1.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	1.0	0.0	0.0						
HARS1	Patient1	573	643	301261.8296529968	374490.39021549217	1902	1717	202	173	198	213	220	210	19.0	11.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	-0.0673854447439353	1.6531217345247784	1.0322141411558354	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient10	402	561	288378.7661406025	257339.4495412844	1394	2180	149	148	105	189	183	189	22.0	23.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.16996047430830039	3.921630153652424	3.4320188303461174	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient11	252	431	184345.28163862473	193620.8445642408	1367	2226	87	82	83	145	139	147	28.0	30.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	-0.006060606060606061	0.12727525210187848	-0.6193208605639268						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient12	520	462	290340.59184812946	230538.92215568863	1791	2004	168	175	177	154	142	166	21.0	25.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	-0.005681818181818182	0.1379040666578844	-0.6080768736353505						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient13	548	488	247069.43192064922	195591.18236472944	2218	2495	191	182	175	170	153	165	26.0	29.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.0196078431372549	0.47714213845252457	-0.24920444954370385						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient14	338	464	291128.3376399655	271662.7634660422	1161	1708	95	119	124	152	157	155	20.0	22.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	-0.0205761316872428	0.4667214433951911	-0.2602282714754856						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient15	427	988	310319.7674418605	383987.56315584923	1376	2573	128	153	146	325	322	341	16.0	8.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.023411371237458192	0.5519472591030681	-0.17006977329610476						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient16	653	647	468100.358422939	509047.9937057435	1395	1271	203	229	221	198	217	232	2.0	1.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.017777777777777778	0.4501566875337183	-0.27775175891616316						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient17	401	543	411282.0512820513	442542.7872860636	975	1227	135	136	130	196	161	186	4.0	5.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.022556390977443608	0.5204443987611747	-0.20339594979777922						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
